time_s,i_alpha,id,iq,duty,use_park
0.004900,0.961570,-0.877896,-1.358733,0.041113,0
0.004950,0.961662,-0.920032,-1.336867,0.030655,0
0.005000,0.961753,-0.961662,-1.313462,0.020186,0
0.005050,0.961843,-1.002721,-1.288534,0.009718,0
0.005100,0.961934,-1.043150,-1.262100,-0.000741,0
0.005150,0.962024,-1.082886,-1.234180,-0.011179,0
0.005200,0.962114,-1.121872,-1.204796,-0.021585,0
0.005250,0.962204,-1.160046,-1.173972,-0.031951,0
0.005300,0.962294,-1.197353,-1.141736,-0.042265,0
0.005350,0.962384,-1.233735,-1.108118,-0.052517,0
0.005400,0.962473,-1.269137,-1.073149,-0.062698,0
0.005450,0.962562,-1.303506,-1.036863,-0.072797,0
0.005500,0.962651,-1.336789,-0.999298,-0.082804,0
0.005550,0.962739,-1.368936,-0.960490,-0.092710,0
0.005600,0.962828,-1.399897,-0.920481,-0.102504,0
0.005650,0.962916,-1.429625,-0.879313,-0.112177,0
0.005700,0.963004,-1.458076,-0.837030,-0.121719,0
0.005750,0.963092,-1.485204,-0.793678,-0.131121,0
0.005800,0.963180,-1.510969,-0.749304,-0.140374,0
0.005850,0.963267,-1.535330,-0.703957,-0.149469,0
0.005900,0.963354,-1.558250,-0.657688,-0.158396,0
0.005950,0.963441,-1.579693,-0.610549,-0.167146,0
0.006000,0.963528,-1.599626,-0.562593,-0.175712,0
0.006050,0.963615,-1.618018,-0.513874,-0.184085,0
0.006100,0.963701,-1.634839,-0.464448,-0.192255,0
0.006150,0.963787,-1.650062,-0.414371,-0.200217,0
0.006200,0.963873,-1.663662,-0.363701,-0.207960,0
0.006250,0.963959,-1.675618,-0.312496,-0.215479,0
0.006300,0.964044,-1.685909,-0.260814,-0.222764,0
0.006350,0.964130,-1.694517,-0.208715,-0.229811,0
0.006400,0.964215,-1.701426,-0.156260,-0.236610,0
0.006450,0.964300,-1.706624,-0.103508,-0.243156,0
0.006500,0.964385,-1.710099,-0.050520,-0.249442,0
0.006550,0.964469,-1.711843,0.002643,-0.255461,0
0.006600,0.964554,-1.711850,0.055919,-0.261209,0
0.006650,0.964638,-1.710115,0.109248,-0.266679,0
0.006700,0.964722,-1.706636,0.162568,-0.271866,0
0.006750,0.964805,-1.701415,0.215818,-0.276764,0
0.006800,0.964889,-1.694453,0.268938,-0.281370,0
0.006850,0.964972,-1.685757,0.321866,-0.285677,0
0.006900,0.965055,-1.675332,0.374543,-0.289683,0
0.006950,0.965138,-1.663188,0.426909,-0.293383,0
0.007000,0.965221,-1.649338,0.478904,-0.296774,0
0.007050,0.965304,-1.633793,0.530470,-0.299852,0
