time_s,u1,theta,locked,duty,current_a,gate
0.004750,1.251476,2.589890,0,0.071806,0.896816,0
0.004800,1.002666,2.615022,0,0.061432,0.897399,0
0.004850,0.752867,2.640155,0,0.051018,0.897970,0
0.004900,0.502324,2.665288,0,0.040574,0.898532,0
0.004950,0.251286,2.690421,0,0.030109,0.899084,0
0.005000,0.000000,2.715553,0,0.019635,0.899626,0
0.005050,-0.251286,2.740686,0,0.009162,0.900160,0
0.005100,-0.502324,2.765819,0,-0.001301,0.900685,0
0.005150,-0.752867,2.790952,0,-0.011743,0.901203,0
0.005200,-1.002666,2.816084,0,-0.022153,0.901712,0
0.005250,-1.251476,2.841217,0,-0.032522,0.902215,0
0.005300,-1.499051,2.866350,0,-0.042839,0.902710,0
0.005350,-1.745146,2.891482,0,-0.053093,0.903199,0
0.005400,-1.989519,2.916615,0,-0.063276,0.903681,0
0.005450,-2.231929,2.941748,0,-0.073376,0.904158,0
0.005500,-2.472136,2.966881,0,-0.083385,0.904628,0
0.005550,-2.709903,2.992013,0,-0.093291,0.905093,0
0.005600,-2.944996,3.017146,0,-0.103086,0.905553,0
0.005650,-3.177183,3.042279,0,-0.112759,0.906008,0
0.005700,-3.406234,3.067412,0,-0.122302,0.906457,0
0.005750,-3.631924,3.092544,0,-0.131704,0.906902,0
0.005800,-3.854029,3.117677,0,-0.140957,0.907343,0
0.005850,-4.072331,3.142810,0,-0.150051,0.907779,0
0.005900,-4.286614,3.167943,0,-0.158977,0.908211,0
0.005950,-4.496667,3.193075,0,-0.167727,0.908638,0
0.006000,-4.702282,3.218208,0,-0.176292,0.909062,0
0.006050,-4.903256,3.243341,0,-0.184663,0.909482,0
0.006100,-5.099392,3.268474,0,-0.192833,0.909899,0
0.006150,-5.290495,3.293606,0,-0.200793,0.910312,0
0.006200,-5.476377,3.318739,0,-0.208535,0.910721,0
0.006250,-5.656854,3.343872,0,-0.216052,0.911128,0
0.006300,-5.831749,3.369005,0,-0.223336,0.911531,0
0.006350,-6.000889,3.394137,0,-0.230380,0.911931,0
0.006400,-6.164106,3.419270,0,-0.237177,0.912328,0
0.006450,-6.321240,3.444403,0,-0.243721,0.912722,0
0.006500,-6.472136,3.469536,0,-0.250005,0.913114,0
0.006550,-6.616645,3.494668,0,-0.256023,0.913502,0
0.006600,-6.754623,3.519801,0,-0.261768,0.913888,0
0.006650,-6.885936,3.544934,0,-0.267236,0.914272,0
0.006700,-7.010453,3.570066,0,-0.272420,0.914652,0
0.006750,-7.128052,3.595199,0,-0.277316,0.915031,0
0.006800,-7.238616,3.620332,0,-0.281919,0.915407,0
0.006850,-7.342037,3.645465,0,-0.286225,0.915780,0
0.006900,-7.438212,3.670597,0,-0.290228,0.916152,0
0.006950,-7.527046,3.695730,0,-0.293925,0.916521,0
0.007000,-7.608452,3.720863,0,-0.297313,0.916888,0
0.007050,-7.682349,3.745996,0,-0.300388,0.917252,0
0.007100,-7.748665,3.771128,0,-0.303147,0.917615,0
0.007150,-7.807334,3.796261,0,-0.305588,0.917976,0
0.007200,-7.858298,3.821394,0,-0.307707,0.918334,0
0.007250,-7.901507,3.846527,0,-0.309503,0.918691,0
0.007300,-7.936918,3.871659,0,-0.310975,0.919045,0
0.007350,-7.964496,3.896792,0,-0.312119,0.919398,0
0.007400,-7.984214,3.921925,0,-0.312937,0.919749,0
0.007450,-7.996052,3.947058,0,-0.313426,0.920098,0
0.007500,-8.000000,3.972190,0,-0.313586,0.920445,0
0.007550,-7.996052,3.997323,0,-0.313417,0.920790,0
0.007600,-7.984214,4.022456,0,-0.312920,0.921133,0
0.007650,-7.964496,4.047589,0,-0.312094,0.921475,0
0.007700,-7.936918,4.072721,0,-0.310941,0.921815,0
0.007750,-7.901507,4.097854,0,-0.309461,0.922153,0
0.007800,-7.858298,4.122987,0,-0.307657,0.922490,0
0.007850,-7.807334,4.148120,0,-0.305529,0.922825,0
0.007900,-7.748665,4.173252,0,-0.303080,0.923158,0
0.007950,-7.682349,4.198385,0,-0.300313,0.923490,0
0.008000,-7.608452,4.223518,0,-0.297229,0.923820,0
