time_s,reference_a,current_a,u_i,u1_true,u1_meas,duty,feedforward,control_dt
0.003250,0.066000,0.043893,0.056301,7.128052,7.128052,0.299348,1,0.000050
0.003300,0.067000,0.044764,0.056792,7.010453,7.010453,0.294469,1,0.000050
0.003350,0.068000,0.045636,0.057282,6.885936,6.885936,0.289301,1,0.000050
0.003400,0.069000,0.046510,0.057771,6.754623,6.754623,0.283850,1,0.000050
0.003450,0.070000,0.047385,0.058258,6.616645,6.616645,0.278121,1,0.000050
0.003500,0.071000,0.048262,0.058744,6.472136,6.472136,0.272120,1,0.000050
0.003550,0.072000,0.049139,0.059229,6.321240,6.321240,0.265853,1,0.000050
0.003600,0.073000,0.050018,0.059713,6.164106,6.164106,0.259326,1,0.000050
0.003650,0.074000,0.050897,0.060195,6.000889,6.000889,0.252545,1,0.000050
0.003700,0.075000,0.051778,0.060677,5.831749,5.831749,0.245518,1,0.000050
0.003750,0.076000,0.052660,0.061158,5.656854,5.656854,0.238251,1,0.000050
0.003800,0.077000,0.053542,0.061638,5.476377,5.476377,0.230751,1,0.000050
0.003850,0.078000,0.054426,0.062117,5.290495,5.290495,0.223025,1,0.000050
0.003900,0.079000,0.055311,0.062595,5.099392,5.099392,0.215083,1,0.000050
0.003950,0.080000,0.056196,0.063073,4.903256,4.903256,0.206930,1,0.000050
0.004000,0.081000,0.057082,0.063550,4.702282,4.702282,0.198576,1,0.000050
0.004050,0.082000,0.057970,0.064027,4.496667,4.496667,0.190029,1,0.000050
0.004100,0.083000,0.058858,0.064503,4.286614,4.286614,0.181297,1,0.000050
0.004150,0.084000,0.059746,0.064978,4.072331,4.072331,0.172388,1,0.000050
0.004200,0.085000,0.060636,0.065454,3.854029,3.854029,0.163312,1,0.000050
0.004250,0.086000,0.061526,0.065928,3.631924,3.631924,0.154077,1,0.000050
0.004300,0.087000,0.062417,0.066402,3.406234,3.406234,0.144693,1,0.000050
0.004350,0.088000,0.063309,0.066876,3.177183,3.177183,0.135169,1,0.000050
0.004400,0.089000,0.064201,0.067350,2.944996,2.944996,0.125514,1,0.000050
0.004450,0.090000,0.065094,0.067823,2.709903,2.709903,0.115739,1,0.000050
0.004500,0.091000,0.065988,0.068296,2.472136,2.472136,0.105851,1,0.000050
0.004550,0.092000,0.066882,0.068769,2.231929,2.231929,0.095862,1,0.000050
0.004600,0.093000,0.067777,0.069241,1.989519,1.989519,0.085782,1,0.000050
0.004650,0.094000,0.068673,0.069713,1.745146,1.745146,0.075619,1,0.000050
0.004700,0.095000,0.069569,0.070185,1.499051,1.499051,0.065385,1,0.000050
0.004750,0.096000,0.070466,0.070657,1.251476,1.251476,0.055089,1,0.000050
0.004800,0.097000,0.071363,0.071129,1.002666,1.002666,0.044741,1,0.000050
0.004850,0.098000,0.072261,0.071600,0.752867,0.752867,0.034353,1,0.000050
0.004900,0.099000,0.073160,0.072072,0.502324,0.502324,0.023933,1,0.000050
0.004950,0.100000,0.074059,0.072543,0.251286,0.251286,0.013493,1,0.000050
0.005000,0.101000,0.074958,0.073014,0.000000,0.000000,0.003042,1,0.000050
0.005050,0.102000,0.075859,0.073486,-0.251286,-0.251286,-0.007408,1,0.000050
0.005100,0.103000,0.076759,0.073957,-0.502324,-0.502324,-0.017849,1,0.000050
0.005150,0.104000,0.077661,0.074428,-0.752867,-0.752867,-0.028268,1,0.000050
0.005200,0.105000,0.078562,0.074899,-1.002666,-1.002666,-0.038657,1,0.000050
0.005250,0.106000,0.079464,0.075370,-1.251476,-1.251476,-0.049004,1,0.000050
0.005300,0.107000,0.080367,0.075841,-1.499051,-1.499051,-0.059300,1,0.000050
0.005350,0.108000,0.081270,0.076312,-1.745146,-1.745146,-0.069535,1,0.000050
0.005400,0.109000,0.082174,0.076782,-1.989519,-1.989519,-0.079697,1,0.000050
0.005450,0.110000,0.083078,0.077253,-2.231929,-2.231929,-0.089778,1,0.000050
0.005500,0.111000,0.083983,0.077724,-2.472136,-2.472136,-0.099767,1,0.000050
0.005550,0.112000,0.084888,0.078195,-2.709903,-2.709903,-0.109655,1,0.000050
0.005600,0.113000,0.085793,0.078666,-2.944996,-2.944996,-0.119430,1,0.000050
0.005650,0.114000,0.086699,0.079137,-3.177183,-3.177183,-0.129085,1,0.000050
0.005700,0.115000,0.087606,0.079608,-3.406234,-3.406234,-0.138609,1,0.000050
0.005750,0.116000,0.088513,0.080079,-3.631924,-3.631924,-0.147994,1,0.000050
0.005800,0.117000,0.089420,0.080550,-3.854029,-3.854029,-0.157228,1,0.000050
0.005850,0.118000,0.090328,0.081021,-4.072331,-4.072331,-0.166305,1,0.000050
0.005900,0.119000,0.091236,0.081492,-4.286614,-4.286614,-0.175213,1,0.000050
0.005950,0.120000,0.092145,0.081964,-4.496667,-4.496667,-0.183946,1,0.000050
0.006000,0.121000,0.093054,0.082435,-4.702282,-4.702282,-0.192494,1,0.000050
0.006050,0.122000,0.093963,0.082906,-4.903256,-4.903256,-0.200848,1,0.000050
0.006100,0.123000,0.094873,0.083378,-5.099392,-5.099392,-0.209001,1,0.000050
0.006150,0.124000,0.095784,0.083849,-5.290495,-5.290495,-0.216944,1,0.000050
0.006200,0.125000,0.096694,0.084321,-5.476377,-5.476377,-0.224669,1,0.000050
0.006250,0.126000,0.097605,0.084792,-5.656854,-5.656854,-0.232169,1,0.000050
0.006300,0.127000,0.098517,0.085264,-5.831749,-5.831749,-0.239437,1,0.000050
0.006350,0.128000,0.099429,0.085736,-6.000889,-6.000889,-0.246465,1,0.000050
0.006400,0.129000,0.100341,0.086208,-6.164106,-6.164106,-0.253246,1,0.000050
